0,5,220,1
0,5,220,1
1,14,144,1
1,14,144,1
2,165,297,1
2,165,297,1
3,68,203,1
3,68,203,1
4,282,294,1
4,282,294,2
5,131,266,1
5,131,266,2
6,139,211,2
6,139,211,1
7,180,230,2
7,180,230,1
8,82,144,1
8,82,144,2
9,166,183,1
9,166,183,1
10,94,263,2
10,94,263,1
11,80,167,2
11,80,167,2
12,260,263,2
12,260,263,2
13,69,71,2
13,69,71,1
14,24,101,1
14,24,101,1
15,212,271,2
15,212,271,2
16,102,121,2
16,102,121,2
17,88,278,1
17,88,278,1
18,14,61,1
18,14,61,2
19,53,111,1
19,53,111,1
20,15,163,2
20,15,163,2
21,110,281,2
21,110,281,2
22,208,227,2
22,208,227,2
23,68,134,2
23,68,134,1
24,231,274,2
24,231,274,2
25,121,150,2
25,121,150,2
26,13,145,2
26,13,145,2
27,20,239,2
27,20,239,2
28,47,111,1
28,47,111,1
29,170,270,1
29,170,270,1
30,26,295,1
30,26,295,2
31,146,148,2
31,146,148,2
32,22,84,1
32,22,84,2
33,197,199,2
33,197,199,2
34,10,136,2
34,10,136,2
35,44,141,1
35,44,141,1
36,125,226,1
36,125,226,1
37,11,18,2
37,11,18,1
38,175,249,1
38,175,249,2
39,44,200,1
39,44,200,1
40,38,71,1
40,38,71,1
41,29,250,1
41,29,250,1
42,152,215,1
42,152,215,1
43,105,135,2
43,105,135,2
44,63,278,1
44,63,278,1
45,74,200,1
45,74,200,1
46,164,258,1
46,164,258,1
47,120,215,1
47,120,215,1
48,10,122,2
48,10,122,2
49,116,237,2
49,116,237,2
50,120,143,2
50,120,143,2
51,99,190,1
51,99,190,2
52,86,244,2
52,86,244,1
53,83,201,1
53,83,201,1
54,208,256,2
54,208,256,1
55,219,299,2
55,219,299,1
56,186,256,1
56,186,256,2
57,67,254,1
57,67,254,1
58,93,149,1
58,93,149,2
59,283,298,2
59,283,298,2
60,115,156,2
60,115,156,2
61,39,165,2
61,39,165,1
62,34,183,2
62,34,183,2
63,131,165,2
63,131,165,1
64,75,164,2
64,75,164,2
65,4,62,2
65,4,62,2
66,41,57,1
66,41,57,2
67,17,88,1
67,17,88,2
68,65,192,1
68,65,192,2
69,29,65,2
69,29,65,1
70,41,286,1
70,41,286,2
71,18,279,1
71,18,279,2
72,187,290,2
72,187,290,1
73,48,264,2
73,48,264,2
74,58,127,1
74,58,127,1
75,39,213,1
75,39,213,1
76,196,240,1
76,196,240,1
77,54,103,1
77,54,103,1
78,182,284,2
78,182,284,1
79,104,191,2
79,104,191,2
80,202,236,2
80,202,236,2
81,179,262,1
81,179,262,1
82,163,176,2
82,163,176,2
83,202,219,1
83,202,219,1
84,248,297,2
84,248,297,2
85,287,294,1
85,287,294,1
86,155,170,2
86,155,170,1
87,135,148,2
87,135,148,1
88,35,243,2
88,35,243,1
89,223,241,1
89,223,241,1
90,61,150,1
90,61,150,1
91,4,257,2
91,4,257,2
92,79,268,2
92,79,268,2
93,42,176,1
93,42,176,1
94,68,174,2
94,68,174,1
95,43,154,1
95,43,154,1
96,78,108,1
96,78,108,1
97,2,215,1
97,2,215,1
98,102,272,2
98,102,272,2
99,23,139,2
99,23,139,2
100,260,277,1
100,260,277,2
101,142,243,1
101,142,243,1
102,149,156,1
102,149,156,2
103,105,218,2
103,105,218,2
104,99,275,1
104,99,275,1
105,202,262,2
105,202,262,2
106,45,271,1
106,45,271,2
107,26,126,1
107,26,126,2
108,109,147,1
108,109,147,2
109,36,245,1
109,36,245,1
110,75,147,1
110,75,147,2
111,118,299,2
111,118,299,2
112,35,266,1
112,35,266,2
113,22,222,2
113,22,222,1
114,171,286,1
114,171,286,1
115,96,173,2
115,96,173,1
116,175,210,1
116,175,210,1
117,258,296,2
117,258,296,2
118,187,289,1
118,187,289,1
119,157,189,2
119,157,189,2
120,186,248,1
120,186,248,1
121,209,210,2
121,209,210,1
122,19,288,2
122,19,288,2
123,67,91,2
123,67,91,2
124,171,197,2
124,171,197,2
125,90,105,1
125,90,105,1
126,46,112,1
126,46,112,1
127,42,127,1
127,42,127,1
128,80,227,1
128,80,227,1
129,181,276,1
129,181,276,1
130,40,46,2
130,40,46,2
131,57,232,1
131,57,232,1
132,117,235,1
132,117,235,1
133,77,250,2
133,77,250,1
134,136,139,1
134,136,139,1
135,89,214,1
135,89,214,1
136,148,256,2
136,148,256,1
137,27,138,2
137,27,138,2
138,207,230,2
138,207,230,1
139,180,220,1
139,180,220,1
140,18,255,2
140,18,255,1
141,109,232,2
141,109,232,1
142,108,259,2
142,108,259,2
143,75,189,2
143,75,189,2
